step,mean,std
500,-945.8965517241379,206.60458175454494
1000,-946.1034482758621,206.66801273463858
1500,-752.0689655172414,376.89492008804956
2000,-366.0689655172414,330.9030858374529
2500,-227.6206896551724,148.74196587981845
3000,-200.0,0.0
3500,-200.0,0.0
4000,-200.0,0.0
4500,-200.0,0.0
5000,-200.0,0.0
5500,-200.0,0.0
6000,-200.0,0.0
6500,-200.0,0.0
7000,-200.0,0.0
7500,-200.0,0.0
8000,-200.0,0.0
8500,-200.0,0.0
9000,-200.0,0.0
9500,-200.0,0.0
10000,-200.0,0.0
10500,-200.0,0.0
11000,-200.0,0.0
11500,-200.0,0.0
12000,-194.68965517241378,28.597082079266
12500,-200.0,0.0
13000,-200.0,0.0
13500,-200.0,0.0
14000,-200.0,0.0
14500,-200.0,0.0
15000,-194.68965517241378,28.597082079266
15500,-200.0,0.0
16000,-194.68965517241378,28.597082079266
16500,-194.68965517241378,28.597082079266
17000,-200.0,0.0
17500,-194.68965517241378,28.597082079266006
18000,-200.0,0.0
18500,-194.68965517241378,28.597082079266
19000,-189.3793103448276,39.713630075744796
19500,-189.3793103448276,39.713630075744796
20000,-189.10344827586206,40.75917497726843
20500,-194.68965517241378,28.597082079266006
21000,-194.68965517241378,28.597082079266006
21500,-183.79310344827587,48.57202259851183
22000,-183.79310344827587,48.57202259851183
22500,-173.44827586206895,59.20158432176366
23000,-173.17241379310346,59.831948564003156
23500,-183.79310344827587,48.57202259851183
24000,-173.17241379310346,59.831948564003156
24500,-151.51724137931035,73.57727749479996
25000,-157.10344827586206,70.74619870029676
25500,-156.9655172413793,70.98213193605268
26000,-151.6551724137931,73.36809147913446
26500,-141.72413793103448,75.94495024674315
27000,-141.58620689655172,76.13592977665452
27500,-147.17241379310346,74.18224131224655
28000,-152.48275862068965,72.16579160400387
28500,-147.17241379310346,74.18224131224655
29000,-136.82758620689654,76.6653530265126
29500,-157.79310344827587,69.67341125890998
30000,-168.13793103448276,63.48662634081234
30500,-173.44827586206895,59.20158432176366
31000,-157.79310344827587,69.67341125890998
31500,-168.13793103448276,63.48662634081235
32000,-152.6206896551724,71.94264272574736
32500,-141.86206896551724,75.85122851342008
33000,-141.86206896551724,75.85122851342008
33500,-141.0344827586207,76.87767777386021
34000,-136.27586206896552,77.36688870557153
34500,-141.86206896551724,75.85122851342008
35000,-115.86206896551724,77.47798034553846
35500,-120.62068965517241,78.2853816828
36000,-120.89655172413794,77.99741059236068
36500,-120.20689655172414,78.6299558103584
37000,-115.17241379310344,78.06868265714913
37500,-109.86206896551724,77.32663749960342
38000,-109.86206896551724,77.32663749960342
38500,-125.51724137931035,78.63960320422672
39000,-114.62068965517241,78.5131534899469
39500,-119.65517241379311,79.1942800342789
40000,-94.06896551724138,72.67242109753424
40500,-93.93103448275862,72.77849517272195
41000,-93.93103448275862,72.77849517272195
41500,-103.44827586206897,77.03041431190697
42000,-103.44827586206897,77.03041431190697
42500,-103.44827586206897,77.03041431190697
43000,-97.86206896551724,75.63999515464737
43500,-93.10344827586206,73.28922393386074
44000,-78.82758620689656,63.557661652076256
44500,-82.75862068965517,67.72932218577004
45000,-82.75862068965517,67.72932218577004
45500,-77.86206896551724,64.02439498120509
46000,-73.10344827586206,59.59766583851263
46500,-73.37931034482759,59.44770438503277
47000,-73.37931034482759,59.44770438503277
47500,-67.79310344827586,54.53267651492793
48000,-67.79310344827586,54.53267651492793
48500,-67.79310344827586,54.53267651492793
49000,-67.79310344827586,54.53267651492793
49500,-72.55172413793103,59.777914105280765
50000,-72.55172413793103,59.777914105280765
50500,-67.79310344827586,54.53267651492793
51000,-72.55172413793103,59.777914105280765
51500,-67.79310344827586,54.53267651492793
52000,-58.275862068965516,40.42179093343106
52500,-58.275862068965516,40.42179093343106
53000,-58.275862068965516,40.42179093343106
53500,-63.03448275862069,48.24230712812494
54000,-63.03448275862069,48.24230712812494
54500,-57.724137931034484,40.47829802298311
55000,-57.724137931034484,40.47829802298311
55500,-57.724137931034484,40.47829802298311
56000,-57.724137931034484,40.47829802298311
56500,-57.724137931034484,40.47829802298311
57000,-57.724137931034484,40.47829802298311
57500,-63.03448275862069,48.24230712812494
58000,-63.03448275862069,48.24230712812494
58500,-67.79310344827586,54.532676514927935
59000,-62.48275862068966,48.34594139388625
59500,-62.48275862068966,48.34594139388625
60000,-62.48275862068966,48.34594139388625
60500,-52.96551724137931,29.87890172802385
61000,-52.96551724137931,29.87890172802385
61500,-57.724137931034484,40.47829802298311
62000,-57.724137931034484,40.47829802298311
62500,-52.96551724137931,29.878901728023845
63000,-57.724137931034484,40.47829802298311
63500,-62.48275862068966,48.34594139388625
64000,-57.724137931034484,40.47829802298311
64500,-57.724137931034484,40.47829802298311
65000,-57.724137931034484,40.47829802298311
65500,-52.96551724137931,29.878901728023845
66000,-52.96551724137931,29.878901728023845
66500,-52.96551724137931,29.878901728023845
67000,-52.96551724137931,29.878901728023845
67500,-48.206896551724135,10.004924895644528
68000,-48.206896551724135,10.004924895644528
68500,-48.206896551724135,10.004924895644528
69000,-48.206896551724135,10.004924895644528
69500,-48.206896551724135,10.004924895644528
70000,-48.206896551724135,10.004924895644528
70500,-53.51724137931034,29.893406690218455
71000,-53.51724137931034,29.893406690218455
71500,-53.51724137931034,29.893406690218455
72000,-53.51724137931034,29.893406690218455
72500,-53.51724137931034,29.893406690218455
73000,-53.51724137931034,29.893406690218455
73500,-53.51724137931034,29.893406690218455
74000,-53.51724137931034,29.893406690218455
74500,-58.275862068965516,40.42179093343106
75000,-63.03448275862069,48.24230712812495
75500,-63.03448275862069,48.24230712812495
76000,-57.724137931034484,40.47829802298311
76500,-52.96551724137931,29.878901728023845
77000,-52.96551724137931,29.878901728023845
77500,-48.206896551724135,10.004924895644528
78000,-48.206896551724135,10.004924895644528
78500,-48.206896551724135,10.004924895644528
79000,-48.206896551724135,10.004924895644528
79500,-48.206896551724135,10.004924895644528
80000,-48.206896551724135,10.004924895644528
80500,-58.275862068965516,40.42179093343106
81000,-58.275862068965516,40.42179093343106
81500,-52.96551724137931,29.878901728023845
82000,-52.96551724137931,29.878901728023845
82500,-52.96551724137931,29.878901728023845
83000,-52.96551724137931,29.878901728023845
83500,-52.96551724137931,29.878901728023845
84000,-52.96551724137931,29.878901728023845
84500,-57.724137931034484,40.47829802298311
85000,-57.724137931034484,40.47829802298311
85500,-57.724137931034484,40.47829802298311
86000,-57.724137931034484,40.47829802298311
86500,-62.48275862068966,48.34594139388625
87000,-57.724137931034484,40.47829802298311
87500,-52.96551724137931,29.87890172802385
88000,-52.96551724137931,29.87890172802385
88500,-52.96551724137931,29.87890172802385
89000,-52.96551724137931,29.87890172802385
89500,-52.96551724137931,29.87890172802385
90000,-52.96551724137931,29.87890172802385
90500,-52.96551724137931,29.87890172802385
91000,-48.206896551724135,10.004924895644528
91500,-48.206896551724135,10.004924895644528
92000,-48.206896551724135,10.004924895644528
92500,-48.206896551724135,10.004924895644528
93000,-48.206896551724135,10.004924895644528
93500,-48.206896551724135,10.004924895644528
94000,-48.206896551724135,10.004924895644528
94500,-48.206896551724135,10.004924895644528
95000,-48.206896551724135,10.004924895644528
95500,-48.206896551724135,10.004924895644528
96000,-48.206896551724135,10.004924895644528
96500,-48.206896551724135,10.004924895644528
97000,-48.206896551724135,10.004924895644528
97500,-48.206896551724135,10.004924895644528
98000,-48.206896551724135,10.004924895644528
98500,-48.206896551724135,10.004924895644528
99000,-48.206896551724135,10.004924895644528
99500,-48.206896551724135,10.004924895644528
100000,-48.206896551724135,10.004924895644528
100500,-48.206896551724135,10.004924895644528
101000,-48.206896551724135,10.004924895644528
101500,-48.206896551724135,10.004924895644528
102000,-48.206896551724135,10.004924895644528
102500,-48.206896551724135,10.004924895644528
103000,-48.206896551724135,10.004924895644528
103500,-48.206896551724135,10.004924895644528
104000,-48.206896551724135,10.004924895644528
104500,-48.206896551724135,10.004924895644528
105000,-48.206896551724135,10.004924895644528
105500,-48.206896551724135,10.004924895644528
106000,-48.206896551724135,10.004924895644528
106500,-48.206896551724135,10.004924895644528
107000,-48.206896551724135,10.004924895644528
107500,-48.206896551724135,10.004924895644528
108000,-48.206896551724135,10.004924895644528
108500,-48.206896551724135,10.004924895644528
109000,-48.206896551724135,10.004924895644528
109500,-48.206896551724135,10.004924895644528
110000,-48.206896551724135,10.004924895644528
110500,-48.206896551724135,10.004924895644528
111000,-48.206896551724135,10.004924895644528
111500,-48.206896551724135,10.004924895644528
112000,-48.206896551724135,10.004924895644528
112500,-48.206896551724135,10.004924895644528
113000,-48.206896551724135,10.004924895644528
113500,-48.206896551724135,10.004924895644528
114000,-48.206896551724135,10.004924895644528
114500,-48.206896551724135,10.004924895644528
115000,-48.206896551724135,10.004924895644528
115500,-48.206896551724135,10.004924895644528
116000,-48.206896551724135,10.004924895644528
116500,-48.206896551724135,10.004924895644528
117000,-48.206896551724135,10.004924895644528
117500,-48.206896551724135,10.004924895644528
118000,-48.206896551724135,10.004924895644528
118500,-48.206896551724135,10.004924895644528
119000,-48.206896551724135,10.004924895644528
119500,-48.206896551724135,10.004924895644528
120000,-48.206896551724135,10.004924895644528
120500,-48.206896551724135,10.004924895644528
121000,-48.206896551724135,10.004924895644528
121500,-48.206896551724135,10.004924895644528
122000,-48.206896551724135,10.004924895644528
122500,-48.206896551724135,10.004924895644528
123000,-48.206896551724135,10.004924895644528
123500,-48.206896551724135,10.004924895644528
124000,-48.206896551724135,10.004924895644528
124500,-48.206896551724135,10.004924895644528
125000,-48.206896551724135,10.004924895644528
125500,-48.206896551724135,10.004924895644528
126000,-48.206896551724135,10.004924895644528
126500,-48.206896551724135,10.004924895644528
127000,-48.206896551724135,10.004924895644528
127500,-48.206896551724135,10.004924895644528
128000,-48.206896551724135,10.004924895644528
128500,-48.206896551724135,10.004924895644528
129000,-48.206896551724135,10.004924895644528
129500,-48.206896551724135,10.004924895644528
130000,-48.206896551724135,10.004924895644528
130500,-48.206896551724135,10.004924895644528
131000,-48.206896551724135,10.004924895644528
131500,-48.206896551724135,10.004924895644528
132000,-48.206896551724135,10.004924895644528
132500,-48.206896551724135,10.004924895644528
133000,-48.206896551724135,10.004924895644528
133500,-48.206896551724135,10.004924895644528
134000,-48.206896551724135,10.004924895644528
134500,-48.206896551724135,10.004924895644528
135000,-48.206896551724135,10.004924895644528
135500,-48.206896551724135,10.004924895644528
136000,-48.206896551724135,10.004924895644528
136500,-48.206896551724135,10.004924895644528
137000,-48.206896551724135,10.004924895644528
137500,-48.206896551724135,10.004924895644528
138000,-48.206896551724135,10.004924895644528
138500,-48.206896551724135,10.004924895644528
139000,-48.206896551724135,10.004924895644528
139500,-48.206896551724135,10.004924895644528
140000,-48.206896551724135,10.004924895644528
140500,-48.206896551724135,10.004924895644528
141000,-48.206896551724135,10.004924895644528
141500,-48.206896551724135,10.004924895644528
142000,-48.206896551724135,10.004924895644528
142500,-48.206896551724135,10.004924895644528
143000,-48.206896551724135,10.004924895644528
143500,-48.206896551724135,10.004924895644528
144000,-48.206896551724135,10.004924895644528
144500,-48.206896551724135,10.004924895644528
145000,-48.206896551724135,10.004924895644528
145500,-48.206896551724135,10.004924895644528
146000,-48.206896551724135,10.004924895644528
146500,-48.206896551724135,10.004924895644528
147000,-48.206896551724135,10.004924895644528
147500,-48.206896551724135,10.004924895644528
148000,-48.206896551724135,10.004924895644528
148500,-48.206896551724135,10.004924895644528
149000,-48.206896551724135,10.004924895644528
149500,-48.206896551724135,10.004924895644528
150000,-48.206896551724135,10.004924895644528
150500,-48.206896551724135,10.004924895644528
151000,-48.206896551724135,10.004924895644528
151500,-48.206896551724135,10.004924895644528
152000,-48.206896551724135,10.004924895644528
152500,-48.206896551724135,10.004924895644528
153000,-48.206896551724135,10.004924895644528
153500,-48.206896551724135,10.004924895644528
154000,-48.206896551724135,10.004924895644528
154500,-48.206896551724135,10.004924895644528
155000,-48.206896551724135,10.004924895644528
155500,-48.206896551724135,10.004924895644528
156000,-48.206896551724135,10.004924895644528
156500,-48.206896551724135,10.004924895644528
157000,-48.206896551724135,10.004924895644528
157500,-48.206896551724135,10.004924895644528
158000,-48.206896551724135,10.004924895644528
158500,-48.206896551724135,10.004924895644528
159000,-48.206896551724135,10.004924895644528
159500,-48.206896551724135,10.004924895644528
160000,-48.206896551724135,10.004924895644528
