"Step","daily-durian-422 - metrics/evaluation/acc_reward","daily-durian-422 - metrics/evaluation/acc_reward__MIN","daily-durian-422 - metrics/evaluation/acc_reward__MAX","wise-fog-421 - metrics/evaluation/acc_reward","wise-fog-421 - metrics/evaluation/acc_reward__MIN","wise-fog-421 - metrics/evaluation/acc_reward__MAX","grateful-dragon-420 - metrics/evaluation/acc_reward","grateful-dragon-420 - metrics/evaluation/acc_reward__MIN","grateful-dragon-420 - metrics/evaluation/acc_reward__MAX","chocolate-vortex-419 - metrics/evaluation/acc_reward","chocolate-vortex-419 - metrics/evaluation/acc_reward__MIN","chocolate-vortex-419 - metrics/evaluation/acc_reward__MAX","gentle-silence-418 - metrics/evaluation/acc_reward","gentle-silence-418 - metrics/evaluation/acc_reward__MIN","gentle-silence-418 - metrics/evaluation/acc_reward__MAX","amber-flower-417 - metrics/evaluation/acc_reward","amber-flower-417 - metrics/evaluation/acc_reward__MIN","amber-flower-417 - metrics/evaluation/acc_reward__MAX","robust-snowball-416 - metrics/evaluation/acc_reward","robust-snowball-416 - metrics/evaluation/acc_reward__MIN","robust-snowball-416 - metrics/evaluation/acc_reward__MAX","misunderstood-frog-415 - metrics/evaluation/acc_reward","misunderstood-frog-415 - metrics/evaluation/acc_reward__MIN","misunderstood-frog-415 - metrics/evaluation/acc_reward__MAX","winter-cloud-414 - metrics/evaluation/acc_reward","winter-cloud-414 - metrics/evaluation/acc_reward__MIN","winter-cloud-414 - metrics/evaluation/acc_reward__MAX","laced-puddle-413 - metrics/evaluation/acc_reward","laced-puddle-413 - metrics/evaluation/acc_reward__MIN","laced-puddle-413 - metrics/evaluation/acc_reward__MAX"
"25","-58","-58","-58","-27","-27","-27","-22","-22","-22","-21","-21","-21","-25","-25","-25","-21","-21","-21","-16","-16","-16","-19","-19","-19","-20","-20","-20","-32","-32","-32"
"26","-47","-47","-47","-19","-19","-19","-16","-16","-16","-23","-23","-23","-20","-20","-20","-19","-19","-19","-19","-19","-19","-28","-28","-28","-15","-15","-15","-16","-16","-16"
"27","-20","-20","-20","-18","-18","-18","-22","-22","-22","-25","-25","-25","-16","-16","-16","-26","-26","-26","-29","-29","-29","-20","-20","-20","-21","-21","-21","-27","-27","-27"
"28","-19","-19","-19","-25","-25","-25","-18","-18","-18","-32","-32","-32","-17","-17","-17","-23","-23","-23","-17","-17","-17","-17","-17","-17","-21","-21","-21","-33","-33","-33"
"29","-34","-34","-34","-21","-21","-21","-27","-27","-27","-36","-36","-36","-22","-22","-22","-20","-20","-20","-36","-36","-36","-36","-36","-36","-17","-17","-17","-24","-24","-24"
"30","-22","-22","-22","-22","-22","-22","-20","-20","-20","-22","-22","-22","-25","-25","-25","-19","-19","-19","-25","-25","-25","-17","-17","-17","-19","-19","-19","-24","-24","-24"
"31","-19","-19","-19","-18","-18","-18","-22","-22","-22","-28","-28","-28","-17","-17","-17","-19","-19","-19","-21","-21","-21","-17","-17","-17","-31","-31","-31","-27","-27","-27"
"32","-24","-24","-24","-25","-25","-25","-19","-19","-19","-16","-16","-16","-18","-18","-18","-19","-19","-19","-19","-19","-19","-18","-18","-18","-18","-18","-18","-24","-24","-24"
"33","-26","-26","-26","-27","-27","-27","-23","-23","-23","-21","-21","-21","-22","-22","-22","-19","-19","-19","-21","-21","-21","-22","-22","-22","-20","-20","-20","-42","-42","-42"
"34","-20","-20","-20","-17","-17","-17","-21","-21","-21","-17","-17","-17","-23","-23","-23","-24","-24","-24","-43","-43","-43","-20","-20","-20","-37","-37","-37","-21","-21","-21"
