"Step","Group: sfols - learning/fsa_reward","Group: sfols - learning/fsa_reward__MIN","Group: sfols - learning/fsa_reward__MAX"
"104500","-38","-38","-38"
"105000","-38","-38","-38"
"105500","-38","-38","-38"
"106000","-38","-38","-38"
"106500","-38","-38","-38"
"107000","-38","-38","-38"
"107500","-38","-38","-38"
"108000","-38","-38","-38"
"108500","-38","-38","-38"
"109000","-38","-38","-38"
"109500","-38","-38","-38"
"110000","-38","-38","-38"
"110500","-38","-38","-38"
"111000","-38","-38","-38"
"111500","-38","-38","-38"
"112000","-38","-38","-38"
"112500","-38","-38","-38"
