,iter,mean,std
0,0,-200.0,0.0
1,1,-200.0,0.0
2,2,-90.66666666666667,77.32758599332813
3,3,-44.666666666666664,12.364824660660938
4,4,-44.666666666666664,12.364824660660938
5,5,-44.666666666666664,12.364824660660938
6,6,-44.666666666666664,12.364824660660938
7,7,-44.666666666666664,12.364824660660938
8,8,-44.666666666666664,12.364824660660938
9,9,-44.666666666666664,12.364824660660938
10,10,-44.666666666666664,12.364824660660938
11,11,-44.666666666666664,12.364824660660938
12,12,-44.666666666666664,12.364824660660938
13,13,-44.666666666666664,12.364824660660938
14,14,-44.666666666666664,12.364824660660938
15,15,-44.666666666666664,12.364824660660938
16,16,-44.666666666666664,12.364824660660938
17,17,-44.666666666666664,12.364824660660938
18,18,-44.666666666666664,12.364824660660938
19,19,-44.666666666666664,12.364824660660938
20,20,-44.666666666666664,12.364824660660938
21,21,-44.666666666666664,12.364824660660938
22,22,-44.666666666666664,12.364824660660938
23,23,-44.666666666666664,12.364824660660938
24,24,-44.666666666666664,12.364824660660938
25,25,-44.666666666666664,12.364824660660938
26,26,-44.666666666666664,12.364824660660938
27,27,-44.666666666666664,12.364824660660938
28,28,-44.666666666666664,12.364824660660938
29,29,-44.666666666666664,12.364824660660938
30,30,-44.666666666666664,12.364824660660938
31,31,-44.666666666666664,12.364824660660938
32,32,-44.666666666666664,12.364824660660938
33,33,-44.666666666666664,12.364824660660938
34,34,-44.666666666666664,12.364824660660938
35,35,-44.666666666666664,12.364824660660938
36,36,-44.666666666666664,12.364824660660938
37,37,-44.666666666666664,12.364824660660938
38,38,-44.666666666666664,12.364824660660938
39,39,-44.666666666666664,12.364824660660938
40,40,-44.666666666666664,12.364824660660938
41,41,-44.666666666666664,12.364824660660938
42,42,-44.666666666666664,12.364824660660938
43,43,-44.666666666666664,12.364824660660938
44,44,-44.666666666666664,12.364824660660938
45,45,-44.666666666666664,12.364824660660938
46,46,-44.666666666666664,12.364824660660938
47,47,-44.666666666666664,12.364824660660938
48,48,-44.666666666666664,12.364824660660938
49,49,-44.666666666666664,12.364824660660938
