,iter,mean,std
0,0,-1001.6666666666666,2.357022603955158
1,1,-1000.0,0.0
2,2,-1001.6666666666666,1.247219128924647
3,3,-1001.3333333333334,1.247219128924647
4,4,-1001.0,1.4142135623730951
5,5,-1002.6666666666666,2.494438257849294
6,6,-1000.6666666666666,0.9428090415820634
7,7,-1003.3333333333334,2.494438257849294
8,8,-1002.6666666666666,2.494438257849294
9,9,-1002.3333333333334,3.2998316455372216
10,10,-1000.3333333333334,0.4714045207910317
11,11,-1001.0,1.4142135623730951
12,12,-1000.3333333333334,0.4714045207910317
13,13,-1001.6666666666666,1.247219128924647
14,14,-1000.0,0.0
15,15,-1003.6666666666666,2.0548046676563256
16,16,-1001.3333333333334,1.8856180831641267
17,17,-1000.6666666666666,0.9428090415820634
18,18,-1001.0,0.816496580927726
19,19,-1002.3333333333334,0.4714045207910317
20,20,-1001.0,1.4142135623730951
21,21,-679.3333333333334,453.4911490009725
22,22,-679.6666666666666,453.72703492542985
23,23,-681.0,454.67424236112896
24,24,-680.0,453.9632877961242
25,25,-681.0,454.6698435861638
26,26,-361.3333333333333,451.61734047999335
27,27,-361.6666666666667,452.08873268665104
28,28,-361.3333333333333,451.61734047999335
29,29,-361.6666666666667,452.08873268665104
30,30,-361.3333333333333,451.61734047999335
31,31,-361.3333333333333,451.61734047999335
32,32,-361.6666666666667,452.08873268665104
33,33,-362.0,452.5601249189622
34,34,-362.3333333333333,453.03151717684676
35,35,-48.666666666666664,9.977753031397176
36,36,-48.666666666666664,9.977753031397176
37,37,-48.666666666666664,9.977753031397176
38,38,-48.666666666666664,9.977753031397176
39,39,-48.666666666666664,9.977753031397176
40,40,-48.666666666666664,9.977753031397176
41,41,-48.666666666666664,9.977753031397176
42,42,-48.666666666666664,9.977753031397176
43,43,-48.666666666666664,9.977753031397176
44,44,-48.666666666666664,9.977753031397176
45,45,-48.666666666666664,9.977753031397176
46,46,-48.666666666666664,9.977753031397176
47,47,-48.666666666666664,9.977753031397176
48,48,-48.666666666666664,9.977753031397176
49,49,-48.666666666666664,9.977753031397176
