,iter,mean,std
0,0,-200.0,0.0
1,1,-200.0,0.0
2,2,-200.0,0.0
3,3,-200.0,0.0
4,4,-200.0,0.0
5,5,-200.0,0.0
6,6,-200.0,0.0
7,7,-200.0,0.0
8,8,-139.0,86.2670273047588
9,9,-139.0,86.2670273047588
10,10,-139.0,86.2670273047588
11,11,-79.66666666666667,85.11299678793023
12,12,-79.66666666666667,85.11299678793023
13,13,-21.333333333333332,3.299831645537222
14,14,-21.333333333333332,3.299831645537222
15,15,-21.333333333333332,3.299831645537222
16,16,-21.333333333333332,3.299831645537222
17,17,-21.333333333333332,3.299831645537222
18,18,-21.333333333333332,3.299831645537222
19,19,-21.333333333333332,3.299831645537222
20,20,-21.333333333333332,3.299831645537222
21,21,-21.333333333333332,3.299831645537222
22,22,-21.333333333333332,3.299831645537222
23,23,-21.333333333333332,3.299831645537222
24,24,-21.333333333333332,3.299831645537222
25,25,-21.333333333333332,3.299831645537222
26,26,-21.333333333333332,3.299831645537222
27,27,-21.333333333333332,3.299831645537222
28,28,-21.333333333333332,3.299831645537222
29,29,-21.333333333333332,3.299831645537222
30,30,-21.333333333333332,3.299831645537222
31,31,-21.333333333333332,3.299831645537222
32,32,-21.333333333333332,3.299831645537222
33,33,-21.333333333333332,3.299831645537222
34,34,-21.333333333333332,3.299831645537222
35,35,-21.333333333333332,3.299831645537222
36,36,-21.333333333333332,3.299831645537222
37,37,-21.333333333333332,3.299831645537222
38,38,-21.333333333333332,3.299831645537222
39,39,-21.333333333333332,3.299831645537222
40,40,-21.333333333333332,3.299831645537222
41,41,-21.333333333333332,3.299831645537222
42,42,-21.333333333333332,3.299831645537222
43,43,-21.333333333333332,3.299831645537222
44,44,-21.333333333333332,3.299831645537222
45,45,-21.333333333333332,3.299831645537222
46,46,-21.333333333333332,3.299831645537222
47,47,-21.333333333333332,3.299831645537222
48,48,-21.333333333333332,3.299831645537222
49,49,-21.333333333333332,3.299831645537222
